address lng lat
辽宁锦州天安街道 121.11820223574145 41.124170824402678
四川乐山市监测站 103.76082423877176 29.600957611095074
江西抚州桐源党溪 116.85883461373719 27.050035991098647
宁夏吴忠新区二泵站 105.6542886837356 37.43937657490431
浙江宁波市政管理站 121.57900597258933 29.885258965918056
四川南充嘉陵区环保局 106.08622330620112 30.76824259762701
山西临汾工商学校 111.53878759640809 36.09974544358536
湖北恩施州州电力总公司 109.517432662322 30.30897851129638
安徽宿州一中 116.98591808509369 33.632866130309448
山西吕梁环保局 111.15461444870403 37.5228374841444
河南濮阳紭天威 115.02662744067226 35.75329788820758
四川攀枝花河门口 101.72242315249032 26.587571257108654
广西北海新市环保局 109.12262791919324 21.472718235009688
山西长治澳瑞特 113.15956213990769 36.202448543477377
内蒙古包头惠龙物流 109.84623853249181 40.64711942570857
广西南宁振宁花园 108.30974958454969 22.789136490539776
江苏南京仙林大学城 118.92138303355874 32.10031609048804
黑龙江鹤岗五号水库 130.115641436537 47.359663212874199
河北张家口北泵房 114.89378153032918 40.81118849110306
云南德宏州芒市建设局 98.58446611895504 24.443725167711148
江西鹰潭新监测站 117.03545018601243 28.241309597181968
云南丽江丽江古城 100.24036457802582 26.87700167595367
四川达州达县机关宾馆 107.49497344658866 31.214198858944735
湖北咸宁咸安区政府 114.30558097675676 29.858270080831728
江苏苏州苏州新区 120.57904959647111 31.303863982655046
黑龙江鸡西白酒厂　 130.94176727325067 45.32153988655108
安徽淮南八公山区政府 116.84015577309397 32.63715231730481
重庆重庆白市驿 106.3770519899144 29.494792120813018
安徽铜陵市职教基地 117.81942872880637 30.940929694665664
江苏苏州轧钢厂 120.61990711548988 31.317987367952438
陕西商洛监测站 109.93420815379513 33.87390739508516
新疆喀什地区吾办 75.99297326749168 39.47062718874562
湖南长沙雨花区环保局 113.03896805037641 28.191300270507115
安徽合肥瑶海区 117.33122366889048 31.905375399341943
辽宁葫芦岛化工街 120.84215678110331 40.76208962982994
甘肃庆阳区环保局 106.6781304690541 35.54798597434007
广东韶关园林处 113.5944611074356 24.80296031189189
浙江宁波万里学院 121.57025144641418 29.823934221778015
江西宜春槟榔水业 114.40003867155777 27.811129895842887
内蒙古鄂尔多斯华泰汽车城 109.99757300751905 39.83213275490387
福建宁德金涵水库 119.50535105097034 26.699202276271096
江西萍乡安源区政府 113.87886885383658 27.645394991779328
四川德阳西小区 104.39286023915375 31.135723111134785
甘肃庆阳市环保局 107.64741692558155 35.71258032245821
内蒙古赤峰松山一中 118.93498475518385 42.289233201875777
贵州安顺虹机厂子校 105.92826996575767 26.228594577737494
陕西西安长安区 108.87425634017979 34.06689872793739
内蒙古呼伦贝尔市艺校 119.76082179399947 49.201636054604339
山东滨州北中新校 117.96829241452845 37.405313941825898
安徽蚌埠蚌埠学院 117.4303819332529 32.89451613455193
吉林白山环保局 126.42260787171263 41.95092723895687
云南红河州监测站 103.3840647571592 23.367717516498997
福建龙岩龙岩市监测站 117.01799673877318 25.07868543351518
江苏扬州第四医院 119.17238354552777 32.95471257113729
湖北黄冈职工中心 114.9066180465751 30.446108937901135
江苏淮安市监测站 119.03018636465636 33.606512739276329
辽宁鞍山铁西工业园区 122.98578619475154 41.12787247683256
宁夏吴忠教育园区 113.34262969169882 23.186987844384608
贵州毕节八中 106.22542146847506 26.830742789366405
辽宁本溪东明 123.77806236979248 41.32583762664885
广东阳江马南垌 111.97015316957962 21.876210364876156
云南丽江市中心 100.22962839887937 26.875351089481364
云南怒江州州监测站 98.85993204248207 25.860676978165356
辽宁辽阳铁西工业园 123.17245120514733 41.27333926556943
吉林吉林哈达湾 126.5530717767756 43.9635278276047
辽宁沈阳京沈街 123.40259492087046 41.933082683170187
山东淄博东风化工厂 117.83707037105575 36.81766924069174
北京北京天坛 116.41288540705672 39.88588336224243
广东惠州大亚湾管委会子站 114.60416128289582 22.468984887712297
江苏苏州苏州工业园区 120.83003388953415 31.321659455666596
山东寿光世纪学校 118.7884853017674 36.85729323437053
河南漯河三五一五工厂 114.04606140022909 33.57627868848315
广东梅州嘉应大学 116.13482715052305 24.332145759044413
河南洛阳豫西宾馆 111.20382748545771 34.784848544489829
安徽淮南潘集区政府 116.84129724810889 32.77750726447005
山西临汾技工学校 111.60286072899271 36.08052484675101
辽宁丹东民主桥 123.90798429570059 40.29010436472052
吉林四平境园 124.39138207367984 43.17552470112557
河北衡水市监测站 115.68622865290866 37.74692904585666
陕西西安高压开关厂 108.95309827919623 34.277799897830629
湖南长沙沙坪 113.02430885518777 28.372408359070055
黑龙江齐齐哈尔市环境监测站 123.9872889421725 47.34769981336638
河南周口市运管处 114.65410194229541 33.62374081814082
江西萍乡武功山气象站 114.31711947387595 27.631112431151256
黑龙江黑河党校 127.50083029523519 50.250690090738277
四川德阳东山公园 105.11207766723786 31.09208186967395
黑龙江大兴安岭地区环保局 128.0474137149926 47.35659164311141
内蒙古鄂尔多斯康泽苑 109.99757300751905 39.83213275490387
河南南阳汉画馆 112.51300921135646 32.976589749989859
甘肃兰州榆中兰大校区 104.24428952099753 35.999785042710829
黑龙江哈尔滨呼兰师专 126.78775713041107 46.079315096501897
辽宁丹东元宝山 124.33854311476908 40.1290228266375
内蒙古阿拉善盟盟环保楼 105.69568287112704 38.84307526440767
四川凉山州邛海宾馆 102.27860727777473 27.844095808426244
河北沧州电视转播站 116.86380647644208 38.297615350325717
广西玉林寒山水库 110.11892372087195 22.71278034858037
广东深圳荔园 113.92482338794784 22.494955447304176
山西晋中榆次区政府 112.7140576137982 37.704657342295188
