address lng lat
provincecitysite lng lat
辽宁锦州天安街道 121.10604674110394 41.11612775527275
四川乐山市监测站 103.752060087635 29.597926978114923
江西抚州桐源党溪 116.84760728358292 27.0474581015982
宁夏吴忠新区二泵站 105.64375555587074 37.43327325723109
浙江宁波市政管理站 121.5684643803564 29.88158831198107
四川南充嘉陵区环保局 106.07579611893622 30.76424720455621
山西临汾工商学校 111.52602778610277 36.09421723773468
湖北恩施州州电力总公司 109.50605864594839 30.305889448642905
安徽宿州一中 116.97400749838475 33.62822483692861
山西吕梁环保局 111.14178213194795 37.516038877601744
河南濮阳紭天威 115.01417647595181 35.74768171237463
四川攀枝花河门口 101.71429979165015 26.58534781441715
广西北海新市环保局 109.11182677014895 21.469205386059716
山西长治澳瑞特 113.14656409079383 36.196017301937474
内蒙古包头惠龙物流 109.83399204625712 40.6401476186838
广西南宁振宁花园 108.29924119802 22.786269252129966
江苏南京仙林大学城 118.90993836517578 32.09619420361334
黑龙江鹤岗五号水库 130.1010700597042 47.35106889128775
河北张家口北泵房 114.88106668813776 40.80414635995217
云南德宏州芒市建设局 98.57775337541035 24.44119059015507
江西鹰潭新监测站 117.0237790370621 28.238504030157998
云南丽江丽江古城 100.23272976623754 26.87461277341449
四川达州达县机关宾馆 107.48386516060677 31.21042624916127
湖北咸宁咸安区政府 114.29363734973717 29.855124123695536
江苏苏州苏州新区 120.56838645573471 31.299994925538794
黑龙江鸡西白酒厂　 130.92803432137683 45.3131763270385
安徽淮南八公山区政府 116.82837720123409 32.63357429234395
重庆重庆白市驿 106.36651226529618 29.49165618838601
安徽铜陵市职教基地 117.80762477928133 30.937182360206446
江苏苏州轧钢厂 120.60931314613346 31.3138908846925
陕西商洛监测站 109.92281546152546 33.86929326243629
新疆喀什地区吾办 75.98356380050153 39.46437665207214
湖南长沙雨花区环保局 113.02680274176701 28.18824728753502
安徽合肥瑶海区 117.31909557264098 31.90141143121192
辽宁葫芦岛化工街 120.83060700991459 40.75425722995292
甘肃庆阳区环保局 106.66746661169861 35.54214459910404
广东韶关园林处 113.58271340370172 24.8003350596966
浙江宁波万里学院 121.55971374696206 29.820187670161115
江西宜春槟榔水业 114.38822418491719 27.808295861805252
内蒙古鄂尔多斯华泰汽车城 109.98525866735054 39.82537110783021
福建宁德金涵水库 119.49412560581885 26.69640260540616
江西萍乡安源区政府 113.86716659850046 27.642513219917465
四川德阳西小区 104.38375112695947 31.131628118994804
甘肃庆阳市环保局 107.63629227437288 35.706661264862916
内蒙古赤峰松山一中 118.92238894256745 42.28096010183807
贵州安顺虹机厂子校 105.91842226596232 26.22627805005211
陕西西安长安区 108.8632065438761 34.062528070970465
内蒙古呼伦贝尔市艺校 119.74711060898065 49.19334993815302
山东滨州北中新校 117.95603879718288 37.39833385091374
安徽蚌埠蚌埠学院 117.41793312900477 32.890588998025834
吉林白山环保局 126.41012433817593 41.94278850061922
云南红河州监测站 103.37548451483296 23.364540692710914
福建龙岩龙岩市监测站 117.0067128734538 25.07517278439774
江苏扬州第四医院 119.16051195939632 32.950105427781025
湖北黄冈职工中心 114.89499902801302 30.443144448933186
江苏淮安市监测站 119.01826571961209 33.60165240399626
辽宁鞍山铁西工业园区 122.97393013099905 41.11981988386841
宁夏吴忠教育园区 113.33059416653391 23.183867707248826
贵州毕节八中 106.21534914783027 26.82805073361037
辽宁本溪东明 123.76554956875168 41.318063485896694
广东阳江马南垌 111.95867257558041 21.872663611543828
云南丽江市中心 100.2220304759425 26.872788280601544
云南怒江州州监测站 98.85304446618181 25.857957680356872
辽宁辽阳铁西工业园 123.16005123627684 41.26544859640621
吉林吉林哈达湾 126.54071334525851 43.95568862661669
辽宁沈阳京沈街 123.38988178417864 41.924752076271666
山东淄博东风化工厂 117.82480273990905 36.81108864510267
北京北京天坛 116.40024256725029 39.878145477381274
广东惠州大亚湾管委会子站 114.59323265514692 22.465689703713583
江苏苏州苏州工业园区 120.81933060222944 31.317503577709676
山东寿光世纪学校 118.77634602631173 36.85067821637759
河南漯河三五一五工厂 114.03355276002924 33.57187818999702
广东梅州嘉应大学 116.123520632273 24.32882571925301
河南洛阳豫西宾馆 111.1912825741545 34.7800356450066
安徽淮南潘集区政府 116.82949182516825 32.77384600190606
山西临汾技工学校 111.59039589310555 36.07445381318294
辽宁丹东民主桥 123.89588961845891 40.283238605167
吉林四平境园 124.37851384876274 43.16727034402686
河北衡水市监测站 115.67393345777818 37.73992228843866
陕西西安高压开关厂 108.9420185098898 34.27312828183346
湖南长沙沙坪 113.01210859114066 28.369557427139842
黑龙江齐齐哈尔市环境监测站 123.97414732520939 47.33936851621974
河南周口市运管处 114.6421364540632 33.619661190805765
江西萍乡武功山气象站 114.30532054731377 27.628601526391495
黑龙江黑河党校 127.48677324216976 50.24334137084927
四川德阳东山公园 105.10223440027511 31.08800493702327
黑龙江大兴安岭地区环保局 128.0340958347834 47.34775945120214
内蒙古鄂尔多斯康泽苑 109.98525866735054 39.82537110783021
河南南阳汉画馆 112.50052134330231 32.972863756860214
甘肃兰州榆中兰大校区 104.23509524075477 35.99419954859923
黑龙江哈尔滨呼兰师专 126.77488435794173 46.07171325898298
辽宁丹东元宝山 124.3263876586872 40.12120339409343
内蒙古阿拉善盟盟环保楼 105.68501277873376 38.83659145705448
四川凉山州邛海宾馆 102.27060360620935 27.841550943628153
河北沧州电视转播站 116.85158029297324 38.29095340161161
广西玉林寒山水库 110.10777102266702 22.709725986779503
广东深圳荔园 113.91342753630065 22.492146684319962
山西晋中榆次区政府 112.70111690243868 37.69796152088819
